uf,tipo_doenca,local_obito,faixa_etaria,sexo,total
MA,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",M,2
MA,INSUFICIENCIA_RESPIRATORIA,VIA_PUBLICA,"< 9",F,1
MA,INSUFICIENCIA_RESPIRATORIA,VIA_PUBLICA,"< 9",M,3
MA,PNEUMONIA,DOMICILIO,"< 9",F,2
MA,PNEUMONIA,DOMICILIO,"< 9",M,5
MA,PNEUMONIA,HOSPITAL,"< 9",F,29
MA,PNEUMONIA,HOSPITAL,"< 9",M,30
MA,PNEUMONIA,OUTRO,"< 9",M,1
MA,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"< 9",M,1
MA,SEPTICEMIA,AMBULANCIA,"< 9",M,1
MA,SEPTICEMIA,DOMICILIO,"< 9",F,1
MA,SEPTICEMIA,DOMICILIO,"< 9",M,1
MA,SEPTICEMIA,HOSPITAL,"< 9",F,97
MA,SEPTICEMIA,HOSPITAL,"< 9",M,90
MA,SEPTICEMIA,OUTRO,"< 9",F,1
MA,SEPTICEMIA,OUTRO,"< 9",M,2
MA,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"< 9",F,1
MA,SEPTICEMIA,VIA_PUBLICA,"< 9",F,1
MA,SRAG,HOSPITAL,"< 9",F,7
MA,SRAG,HOSPITAL,"< 9",M,6
MA,SRAG,OUTRO,"< 9",M,1
MG,OUTRAS,DOMICILIO,"< 9",F,36
MG,OUTRAS,DOMICILIO,"< 9",M,46
MG,OUTRAS,HOSPITAL,"< 9",F,783
MG,OUTRAS,HOSPITAL,"< 9",I,12
MG,OUTRAS,HOSPITAL,"< 9",M,943
MG,OUTRAS,IGNORADO,"< 9",F,11
MG,OUTRAS,IGNORADO,"< 9",M,18
MG,OUTRAS,OUTRO,"< 9",F,8
MG,OUTRAS,OUTRO,"< 9",M,17
MG,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",F,21
MG,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",M,40
MG,OUTRAS,VIA_PUBLICA,"< 9",F,2
MG,OUTRAS,VIA_PUBLICA,"< 9",M,8
MG,COVID,HOSPITAL,"< 9",F,29
MG,COVID,HOSPITAL,"< 9",M,28
MG,COVID,OUTRO,"< 9",F,1
MG,COVID,OUTROS_SERVICOS_SAUDE,"< 9",M,1
MG,INDETERMINADA,DOMICILIO,"< 9",F,1
MG,INDETERMINADA,DOMICILIO,"< 9",M,6
MG,INDETERMINADA,HOSPITAL,"< 9",F,19
MG,INDETERMINADA,HOSPITAL,"< 9",M,14
MG,INDETERMINADA,IGNORADO,"< 9",F,1
MG,INDETERMINADA,OUTRO,"< 9",F,1
MG,INDETERMINADA,OUTRO,"< 9",M,1
MG,INDETERMINADA,OUTROS_SERVICOS_SAUDE,"< 9",F,1
MG,INDETERMINADA,OUTROS_SERVICOS_SAUDE,"< 9",M,5
MG,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",F,1
MG,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",M,6
